Expertise,Guided,Outcome,time
1,0,0,30
1,0,0,30
0,1,1,30
1,0,0,30
1,0,1,30
0,1,0,30
0,1,1,30
1,1,2,13
0,1,2,14
1,0,0,30
0,0,0,30
0,1,0,30
0,1,0,30
0,1,0,30
0,0,0,30
0,0,0,30
0,1,2,13
0,0,0,30
0,1,0,30
0,0,0,30
1,1,2,30
0,0,0,30
1,0,0,30
0,1,2,17
1,0,0,22
1,1,1,30
1,0,0,30
0,1,1,30
