Expertise,Guided,Outcome,Time
1,0,0,30
1,0,3,30
0,1,1,26
1,0,4,30
0,0,3,30
1,1,2,30
0,1,2,30
1,1,5,21
1,1,0,29
1,0,0,30
1,0,1,30
1,1,3,30
1,1,3,30
0,1,3,30
0,0,3,30
0,0,4,30
0,1,0,22
1,0,4,30
0,1,3,30
0,0,3,30
0,1,1,35
1,0,4,30
0,0,2,30
1,1,2,30
1,0,2,26
0,1,1,23
0,0,0,30
0,1,3,30
