Expertise,Guided,time
1,0,30
1,0,30
0,1,30
1,0,30
1,0,30
0,1,30
0,1,30
1,1,13
0,1,14
1,0,30
0,0,30
0,1,30
0,1,30
0,1,30
0,0,30
0,0,30
0,1,13
0,0,30
0,1,30
0,0,30
1,1,30
0,0,30
1,0,30
0,1,17
1,0,22
1,1,30
1,0,30
0,1,30
