Expertise2,Guided2,Outcome2
7,0,0
7,0,0
6,1,1
7,0,0
8,0,1
5,1,0
4,1,1
7,1,2
4,1,2
7,0,0
5,0,0
5,1,0
6,1,0
6,1,0
6,0,0
6,0,0
5,1,2
5,0,0
5,1,0
6,0,0
9,1,2
6,0,0
7,0,0
6,1,2
7,0,0
7,1,1
7,0,0
